journal_issue_id	article_count	issue_details	article_ids
journal-issue-011796	5	— 1924. — № 11–12. — С. 18–19: ил.	article-033317; article-033318; article-033319; article-033347; article-033438
journal-issue-011793	2	— 1924. — № 2. — С. 11.	article-033314; article-033396
journal-issue-011765	3	— 1924. — № 4. — С. 17.	article-033272; article-033344; article-033398
journal-issue-011795	2	— 1924. — № 9. — С. 9–12 ил.	article-033316; article-033384
journal-issue-011778	3	— 1925. — № 11–12. — С. 21.	article-033287; article-033362; article-033378
journal-issue-011761	2	— 1925. — № 13–14. — С. 25.	article-033268; article-033312
journal-issue-011802	2	— 1925. — № 18. — С. 11.	article-033325; article-033432
journal-issue-011803	2	— 1925. — № 21. — С. 8.	article-033326; article-033387
journal-issue-011763	3	— 1926. — № 12. — С. 4–6.	article-033270; article-033298; article-033307
journal-issue-011815	2	— 1926. — № 2. — С. 1–4: ил.	article-033348; article-033385
journal-issue-011768	2	— 1926. — № 3. — С. 18: ил.	article-033275; article-033415
journal-issue-011828	2	— 1926. — № 4. — С. 13–15; № 9. — С. 18–19.	article-033388; article-033427
journal-issue-011788	4	— 1926. — № 6. — С. 16–17.	article-033303; article-033354; article-033383; article-033391
journal-issue-011774	3	— 1926. — № 7. — С. 20.	article-033282; article-033297; article-033349
journal-issue-011770	2	— 1926. — № 8. — С. 15–16.	article-033277; article-033375
journal-issue-011775	3	— 1927. — № 1. — С. 18; № 2. — С. 18,	article-033283; article-033353; article-033416
journal-issue-011789	2	— 1927. — № 4. — С. 15.	article-033304; article-033417
journal-issue-011779	2	— 1927. — № 9. — С. 19.	article-033289; article-033399
journal-issue-011781	6	— 1928. — № 1. — С. 20; 1929. — № 4–6. — С. 44–45; 1930. — № 3. — С. 90–92; № 8–9. — С. 220–221; 1931. — № 8. — С. 226–227; 1932. — № 3. — С. 95–96; № 10–12. — С. 307–308.	article-033291; article-033338; article-033390; article-033395; article-033400; article-033401
journal-issue-011810	3	— 1928. — № 2. — С. 21.	article-033340; article-033379; article-033433
journal-issue-011809	2	— 1928. — № 3. — С. 16.	article-033336; article-033402
journal-issue-011780	13	— 1928. — № 4. — С. 1–4; № 5. — С. 3–7.	article-033290; article-033310; article-033311; article-033327; article-033328; article-033333; article-033339; article-033355; article-033356; article-033373; article-033376; article-033381; article-033419
journal-issue-011762	4	— 1928. — № 5. — С. 21.	article-033269; article-033308; article-033380; article-033403
journal-issue-011766	3	— 1928. — № 6. — С. 6.	article-033273; article-033337; article-033377
journal-issue-011786	6	— 1929. — № 10–12. — С. 41–43: ил.	article-033299; article-033334; article-033360; article-033366; article-033374; article-033407
journal-issue-011767	2	— 1929. — № 1–3. — С. 41.	article-033274; article-033404
journal-issue-011772	8	— 1929. — № 4–6. — С. 43–44.	article-033280; article-033288; article-033292; article-033302; article-033350; article-033351; article-033405; article-033421
journal-issue-011771	6	— 1929. — № 7–9. — С. 68–69.	article-033278; article-033279; article-033284; article-033335; article-033341; article-033406
journal-issue-011823	2	— 1930. — № 3. — С. 65–69.	article-033368; article-033425
journal-issue-011776	4	— 1930. — № 4–5. — С. 115–116: ил.	article-033285; article-033300; article-033309; article-033386
journal-issue-011822	3	— 1930. — № 6. — С. 142: ил.	article-033364; article-033367; article-033408
journal-issue-011777	4	— 1930. — № 7. — С. — 192.	article-033286; article-033369; article-033392; article-033426
journal-issue-011831	2	— 1930. — № 8–9. — С. 204–207.	article-033409; article-033436
journal-issue-011805	2	— 1931. — № 11. — С. 314–316.	article-033329; article-033393
journal-issue-011787	2	— 1931. — № 5. — С. 123–125.	article-033301; article-033365
journal-issue-011834	2	— 1931. — № 6. — С. 157–161; № 7. — С. 192–198.	article-033412; article-033422
journal-issue-011825	3	— 1932. — № 1. — С. 14–15.	article-033371; article-033394; article-033413
journal-issue-011769	2	— 1932. — № 3. — С. 70–72.	article-033276; article-033428
journal-issue-011826	2	— 1932. — № 4. — С. 105–106. Дополнение к статье о первых частных бонах Урала — приказ А. и Н. Всеволожских заводским мастеровым.	article-033372; article-033430
journal-issue-011836	2	— 1932. — № 8–9. — С. 247–248.	article-033418; article-033435
journal-issue-010278	4	— 1923. — № 11–12. — С. 4–5.	article-029743; article-029744; article-029745; article-029746
journal-issue-010274	3	— 1923. — № 1–2. — С. 4–6; № 6–8. — С. 5–7.	article-029735; article-029739; article-029740
journal-issue-010277	3	— 1923. — № 6–8. — С. 8.	article-029738; article-029747; article-029748
journal-issue-010276	3	— 1923. — № 9–10. — С. 2–5: ил.	article-029737; article-029741; article-029742
journal-issue-010315	2	— М.: Связь, 1964. — С. 125–132: ил.	article-029823; article-029847
journal-issue-010313	3	— М.: Связь, 1965. — С. 91–94: ил.	article-029812; article-029824; article-029827
journal-issue-010309	3	— М.: Связь, 1966. — С. 83–84: ил.	article-029801; article-029825; article-029856
journal-issue-010316	3	— М.: Связь, 1967. — С. 104–105.	article-029826; article-029850; article-029857
journal-issue-010318	4	— М.: Связь, 1968. — С. 120: ил.	article-029842; article-029843; article-029858; article-029886
journal-issue-010312	3	— М.: Связь, 1971. — С. 151–152.	article-029809; article-029811; article-029888
journal-issue-010319	2	— М.: Радио и связь, 1988. — С. 157–163: ил.	article-029844; article-029868
journal-issue-010966	2	— 1996. — № 14. — С. 2.	article-031704; article-031747
journal-issue-010967	2	— 1996. — № 18.	article-031705; article-031751
journal-issue-010941	2	— 1996. — № 19.	article-031676; article-031678
journal-issue-010954	2	— 1996. — № 2.	article-031690; article-031749
journal-issue-010945	2	— 1996. — № 20.	article-031681; article-031752
journal-issue-010946	2	— 1996. — № 21.	article-031682; article-031706
journal-issue-010956	2	— 1996. — № 4.	article-031692; article-031693
journal-issue-010957	2	— 1996. — № 5.	article-031694; article-031750
journal-issue-010959	2	— 1996. — № 7.	article-031696; article-031697
journal-issue-010975	2	— 1997. — № 10 (32).	article-031715; article-031755
journal-issue-010950	2	— 1997. — № 13 (35).	article-031686; article-031717
journal-issue-010977	2	— 1997. — № 14 (36).	article-031718; article-031719
journal-issue-010980	2	— 1997. — № 17 (39).	article-031722; article-031757
journal-issue-010970	2	— 1997. — № 2 (24).	article-031709; article-031753
journal-issue-010982	2	— 1997. — № 21 (43).	article-031724; article-031725
journal-issue-010999	2	— 1997. — № 35 (57).	article-031727; article-031748
journal-issue-010972	2	— 1997. — № 4 (26). — С. 2.	article-031711; article-034016
journal-issue-010951	2	— 1997. — № 40 (62). — С. 2.	article-031687; article-031730
journal-issue-010947	2	— 1997. — № 5 (27). — С.2 .	article-031683; article-031712
journal-issue-010948	3	— 1997. — № 6 (28).	article-031684; article-031695; article-031743
journal-issue-010949	2	— 1997. — № 9 (31).	article-031685; article-031754
journal-issue-010988	2	— 1999. — № 1 (64).	article-031732; article-031733
journal-issue-010989	2	— 1999. — № 5 (68).	article-031734; article-031745
journal-issue-010991	2	— 1999. — № 7 (70).	article-031736; article-031737
journal-issue-010992	2	— 1999. — № 8 (71).	article-031738; article-031739
journal-issue-011315	11	— 1994. — № 11. — С. 4–5.	article-032139; article-032140; article-032141; article-032142; article-032144; article-032145; article-032146; article-032147; article-032148; article-032149; article-032150
journal-issue-011011	5	— 1997. — № 1.	article-031768; article-031806; article-031807; article-031814; article-031817
journal-issue-011016	5	— 1997 — № 2.	article-031774; article-031786; article-031791; article-031796; article-031805
journal-issue-011024	4	— 1997. — № 3.	article-031787; article-031803; article-031808; article-031810
journal-issue-011009	5	— 1997. — № 4.	article-031766; article-031780; article-031809; article-031811; article-031812
journal-issue-011027	2	— 1997. — № 5; № 6.	article-031795; article-031820
journal-issue-011017	4	— 1998. — № 1.	article-031775; article-031783; article-031793; article-031804
journal-issue-011025	2	— 1998. — № 10.	article-031789; article-031819
journal-issue-011022	4	— 1998. — № 2.	article-031782; article-031784; article-031792; article-031822
journal-issue-011018	2	— 1998. — № 3; № 4; 5; № 6; № 7.	article-031776; article-031818
journal-issue-011010	2	— 1998. — № 6.	article-031767; article-031769
journal-issue-011021	2	— 1998. — № 8.	article-031781; article-031788
journal-issue-011029	3	— 1998. — № 9; № 10.	article-031798; article-031802; article-031821
journal-issue-011013	2	— 1999. — № 4.	article-031771; article-031815
journal-issue-011014	3	— 1999. — № 5.	article-031772; article-031777; article-031790
journal-issue-011015	2	— 1999. — № 6.	article-031773; article-031799
journal-issue-011035	2	— 2003. — № 2. — С. 17–19.	article-031824; article-031825
journal-issue-011054	2	— 1981. — № 10.	article-031845; article-031865
journal-issue-011038	2	— 2005. — № 10. — С. 64–65.	article-031828; article-031833
journal-issue-011048	2	— 2014. — № 9. — С. 37–39.	article-031839; article-031853
journal-issue-011085	2	— 1991. — № 5. — С. 43–44.	article-031879; article-031888
journal-issue-011077	2	— 1995. — № 10.	article-031870; article-031871
journal-issue-010346	2	— 1968. — № 8. — С. 41.	article-029909; article-029912
journal-issue-010345	2	— 1969. — № 6. — С. 43.	article-029908; article-029942
journal-issue-010336	2	— 1970. — № 9. — С. 41–42.	article-029899; article-029916
journal-issue-010361	4	— 1972. — № 8. — С. 44.	article-029926; article-029927; article-029929; article-029930
journal-issue-010354	2	— 1989. — № 1.	article-029919; article-029932
journal-issue-010333	2	— 1989. — № 11. — С. 44–47.	article-029896; article-029938
journal-issue-010355	2	— 1989. — № 2. — С. 55.	article-029920; article-029933
journal-issue-010365	2	— 1989. — № 7. — С. 38–39.	article-029935; article-029936
journal-issue-011464	2	— 2006. — № 2. — С. 39.	article-032344; article-032345
journal-issue-011474	2	— 2018. — № 1 (2). — С. 12–21.	article-032355; article-032357
journal-issue-011471	3	— 2018. — № 2 (3). — С. 11–13.	article-032352; article-032358; article-032359
journal-issue-011476	2	— 2019. — № 1 (4). — С. 15–21.	article-032360; article-032361
journal-issue-011472	4	— 2019. — № 2 (5). — С. 58–67.	article-032353; article-032362; article-032363; article-032367
journal-issue-010289	2	— Хабаровск, 1923. — № 1. — С. 1–9.	article-029759; article-029762
